Term	Gene
GO:0097454	P07943
GO:1901360	P07943
GO:1901653	P07943
GO:0005275	P45843
GO:0005524	P45843
GO:0005886	P45843
GO:0006727	P45843
GO:0006856	P45843
GO:0015842	P45843
GO:0016887	P45843
GO:0022857	P45843
GO:0030659	P45843
GO:0031409	P45843
GO:0042626	P45843
GO:0055085	P45843
GO:0090741	P45843
GO:0098793	P45843
GO:0140359	P45843
GO:0003009	P63317
GO:0005509	P63317
GO:0014883	P63317
GO:0031013	P63317
GO:0031014	P63317
GO:0032972	P63317
GO:0042803	P63317
GO:0043462	P63317
GO:0048306	P63317
GO:0051015	P63317
GO:0055010	P63317
